PROJECT_ID,PROJECT_NAME,PROJECT_DESCRIPTION,ESTIMATED_COST,UPDATE_ACTIVITY,ENVIRONMENTAL_ASSESSMENT_STAGE,CONSTRUCTION_TYPE,CONSTRUCTION_SUBTYPE,PROJECT_TYPE,REGION,MUNICIPALITY,DEVELOPER,ARCHITECT,PROJECT_STATUS,PROJECT_STAGE,PROJECT_CATEGORY_NAME,PUBLIC_FUNDING_IND,PROVINCIAL_FUNDING,FEDERAL_FUNDING,MUNICIPAL_FUNDING,OTHER_PUBLIC_FUNDING,GREEN_BUILDING_IND,GREEN_BUILDING_DESC,CLEAN_ENERGY_IND,INDIGENOUS_IND,INDIGENOUS_NAMES,INDIGENOUS_AGREEMENT,CONSTRUCTION_JOBS,OPERATING_JOBS,STANDARDIZED_START_DATE,STANDARDIZED_COMPLETION_DATE,LATITUDE,LONGITUDE,LATITUDE_DMS,LONGITUDE_DMS,TELEPHONE,PROJECT_WEBSITE,FIRST_ENTRY_DATE,LAST_UPDATE
4866,Silvertip Silver/Lead/Zinc Mine,"Underground silver mine located 107 km southwest of Watson Lake YT, Exploration is underway to provide updated resource estimate. Drill program",,New proposed project,,Industrial,Mining,Mining,7. Nechako,Cassiar,Coeur Mining,,Proposed,Preliminary/Feasibility,Mining & Oil & Gas Extraction,False,False,False,False,False,False,,False,False,,,,,,,,,,,,,2025-03-01,2025-03-01
4867,Slate and Ash Condominium,Proposed 62-unit condominium in a 6-storey building located at 5079 Ash Street.,20.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Pennyfarthing Homes,,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 734-8443,,2025-03-01,2025-03-01
4879,Ashleigh Oakridge,Proposed 124-unit development in a 4-storey lowrise condominium located 5020 Ash St.,22.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Peterson,GBL Architects,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(60$0 688-4885,,2025-03-01,2025-03-01
4868,Autograph Condominium,Proposed 64-unit condominium in a 4-storey building located at 5007 Ash Street.,20.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Pennyfarthing Homes,,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 734-8443,,2025-03-01,2025-03-01
4878,Dow Ave Condominium,Proposed 770-unit development located at 6645-6707 Dow Ave.,135.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Peterson,,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(60$0 688-4885,,2025-03-01,2025-03-01
4877,Maywood Condos,Proposed 276-unit condominium in a 32-storey highrise located at 4355 Maywood St.,46.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Peterson,,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4876,Unison Townhouse Condominium,Proposed 62-unit townhouse condominium located at 682 West 28th Ave.,20.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Belford Properties,,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4875,M Residences,Proposed 272-unit condominium in a 31-storey highrise located at Maywood St and Cassie Ave.,56.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Belford Properties,Buttjes Architecture Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4874,Telford Ave Condominium,Proposed 408-unit development in a 50-storey condominium located at 6508 Telford Ave.,80.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4873,King George Boulevard Condos,Proposed 746-unit development in a 67-storey highrise condominium located at 10227 King George Boulevard.,140.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Surrey,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4872,Willingdon Ave Condominium,Proposed 215-unit development in a highrise building located at 6390 Willingdon Avenue.,38.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4871,Clarke Road & Hobbis Way Condos,Proposed 224-unit development in a 14-storey condominium.,40.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Coquitlam,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4869,Silver Ave Condominium,Proposed 254-unit highrise condominium located at 6444 Silver Ave.,43.0,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Belford Properties,,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4835,Mount Milligan Mine Extension,Project to extend the mine life of the open pit copper and gold mine operation at Mount Milligan Mine to 2035. Preliminary economic assessment will take place in 2025 to evaluate the full potential of the extension.,,,,Industrial,Mining,Mining,5. Cariboo,Mackenzie Region,Centerra Gold,,Proposed,Preliminary/Feasibility,Mining & Oil & Gas Extraction,False,False,False,False,False,False,,False,False,,,,,,,55.11666,-124.0333,"55° 6' 59.98"" N","124° 1' 59.88"" W",,,2024-12-01,2025-03-01
4833,Northeast British Columbia (NEBC) Connector,"Proposed project that will consist of two parallel 8"" to 12"" pipelines that will be 213 km in length, and transport condensate (C3+) and natural gas liquids (C5+). The pipelines will run from northwest of  Wonowon to the Gordondale area, extending  23 km over the Alberta border. Project working toward Financial Investment Decision (FID).",350.0,,,Industrial,Oil & Gas,Liquefied Natural Gas - Natural Gas Pipeline,8. Northeast,Wonowon,Northriver Midstream Inc.,,Proposed,Consultation/Approvals,Transportation & Warehousing,False,False,False,False,False,False,,False,False,,,,,,,,,,,,,2024-12-01,2025-03-01
4848,Edge Condominiums,Proposed development of a 152-unit condominium in a 6-storey building located at 9488 134 St.,25.0,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Surrey,Adera Development Corp.,Keystone Architecture,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 684-8277,,2024-12-01,2025-03-01
4852,Sierra Condominiums,Proposed 422-unit development in a 6-storey condominium located at 228 Dunlop St.,80.0,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Coquitlam,Ledingham McAlister,,Proposed,,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 422-0599,,2024-12-01,2025-03-01
4849,Wellwood Condominium,Proposed 292-unit development located at 548 Cochrane Ave.,52.0,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Coquitlam,Adera Development Corp.,,Proposed,,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 684-8277,,2024-12-01,2025-03-01
4846,Town and Centre Highrise Condominium - North Tower,Proposed development of 265-units in a 28-storey condominium. Project is located at 3646 Westwood St.,60.0,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Port Coquitlam,Mosaic Homes,,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,49.277351,-122.789917,49° 16' 38.4636'' N,122° 47' 23.7012'' W,,,2024-12-01,2025-03-01
4845,Sussex Condominiums,Proposed 355-unit development of a 21-storey condominium located at 1340 Sussex St.,65.0,,,Residential,Primarily residential - Single use,Residential,1. Vancouver Island/Coast,Victoria,Intracorp Developments,,Proposed,Preliminary/Feasibility,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 801-7000,,2024-12-01,2025-03-01
4781,Smith Athletic Park,"New facility with 3 playing fields in phase 1, and a covered playing field in phase 2. Park will include a dog park and playground and share use with nearby middle and high schools.",190.0,,,Commercial,Recreation,"Arts, Entertainment & Recreation",2. Mainland/Southwest,Langley,Langley Township,,Proposed,,Other Services,True,False,False,True,False,False,,False,False,,,,,,,,,,,(604) 534-3211,,2024-09-01,2025-03-01
4818,Vine & West 49th Condominiums,Proposed 133-unit development in a 5-storey condominium located at Vine and West 49th.,,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Intracorp Developments,BHA Architecture Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 801-7000,,2024-09-01,2025-03-01
4817,Arbutus & West 34th Condominiums,Proposed 156-unit development in a 5-storey building located at Arbutus and West 34th St.,23.0,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Intracorp Developments,RWA Architecture Group,Proposed,Consultation/Approvals,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,,,,,(604) 801-7000,,2024-09-01,2025-03-01
4814,Symposia Condominium,Proposed 234-unit condominium in a 17-storey development located at 8955 University High St. .,45.0,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Mosaic Homes,,Proposed,Consultation/Approvals,Residential/Commercial,False,False,False,False,False,False,,False,False,,,,,,,49.27863,-122.911415,49° 16' 43.068'' N,122° 54' 41.094'' W,(604) 685-3888,,2024-09-01,2025-03-01
