PROJECT_ID,PROJECT_NAME,PROJECT_DESCRIPTION,ESTIMATED_COST,UPDATE_ACTIVITY,ENVIRONMENTAL_ASSESSMENT_STAGE,CONSTRUCTION_TYPE,CONSTRUCTION_SUBTYPE,PROJECT_TYPE,REGION,MUNICIPALITY,DEVELOPER,ARCHITECT,PROJECT_STATUS,PROJECT_STAGE,PROJECT_CATEGORY_NAME,PUBLIC_FUNDING_IND,PROVINCIAL_FUNDING,FEDERAL_FUNDING,MUNICIPAL_FUNDING,OTHER_PUBLIC_FUNDING,GREEN_BUILDING_IND,GREEN_BUILDING_DESC,CLEAN_ENERGY_IND,INDIGENOUS_IND,INDIGENOUS_NAMES,INDIGENOUS_AGREEMENT,CONSTRUCTION_JOBS,OPERATING_JOBS,STANDARDIZED_START_DATE,STANDARDIZED_COMPLETION_DATE,LATITUDE,LONGITUDE,LATITUDE_DMS,LONGITUDE_DMS,TELEPHONE,PROJECT_WEBSITE,FIRST_ENTRY_DATE,LAST_UPDATE
4884,Baptiste Nickel Project,"Proposed nickel mine that would have a 29-year mine life with an estimated 59,100 tonnes/yr. A process plant will be considered in future phases. Feasibility Study is expected to complete in 2027.",2970.0,New proposed project,,Industrial,Mining,Mining,7. Nechako,Fort St. James Area,FPX Nickel Corp.,,Proposed,Preliminary/Feasibility,Mining & Oil & Gas Extraction,False,False,False,False,False,False,,False,False,,,,,2028-01-01,2030-10-01,,,,,,,2025-03-01,2025-03-01
4864,St. Paul's Hospital - Clinical Support & Research Centre,the Clinical Support and Research Centre (CSRC) will accommodate clinicians and researchers on the campus. The project located on an 18.4-acre site on Station St has received approval of the business plan and funding.,638.0,,,Institutional,Health,Health Care and Social Assistance,2. Mainland/Southwest,Vancouver,Providence Health Care,,Construction started,,Public Services,True,True,True,True,True,True,LEED gold,False,False,,,,,2023-07-01,2029-07-01,,,,,,,2025-03-01,2025-03-01
4859,Trigon Liquid Petroleum Gas (LPG) Export Facility,Proposed new open-access 2.5 million MTPA LPG export facility.,750.0,New proposed project,,Industrial,Oil & Gas,Oil and Gas Extraction,6. North Coast,Prince Rupert,Trigon Pacific Terminals Ltd.,,Proposed,Consultation/Approvals,Mining & Oil & Gas Extraction,False,False,False,False,False,False,,False,False,,,,,2026-07-01,2029-10-01,,,,,,,2025-03-01,2025-03-01
4836,Brewster Wind Farm,Proposed 200 MW wind energy project with 36 turbines to be located near Campbell River. Project was selected for a power purchase agreement in the 2024 BC Hydro clean call for power.,600.0,,,Infrastructure,Utilities,Utilities,1. Vancouver Island/Coast,Campbell River,Capstone Infrastructure Corp.,,Proposed,,Utilities (incl sewage treatment),False,False,False,False,False,False,,False,True,Wei Wai Kum First Nation,,275.0,,,2030-10-01,,,,,,,2024-12-01,2025-03-01
4834,Aspen Point Program,"Project to include expansion of the T-North section of the Westcoast connector with 18 km of new pipeline segments that will add 535 MMcf/d transportation capacity. Looping of the existing Aitken Creek pipeline with a 9 km section of 24' pipeline, looping of the Fort St. John mainline with an 8 km section of 36' pipeline, and 1 km of 30' pipeline to connect the Wochiigii Compressor Station to the existing Alberta Mainline. Infrastructure upgrades will include installation of new electric compressors at the existing compressor stations. Project has received Canadian Energy Regulators (CER) approval in Dec 2024.",1200.0,,,Industrial,Oil & Gas,Liquefied Natural Gas - Natural Gas Pipeline,6. North Coast,Prince Rupert,Westcoast Energy Inc.,,Proposed,Consultation/Approvals,Transportation & Warehousing,False,False,False,False,False,False,,False,False,,,,,2025-04-01,2026-10-01,,,,,,,2024-12-01,2025-03-01
4797,UBC Student Housing Complex,"Redevelopment of the St. John's College site with 1,508 student beds (1,333 new graduate student beds and 175 replacement beds) in 5 buildings up to 18 stories. Project will include a 400-seat dining hall and a 37 space childcare facility. Funding will be provided by the provincial government ($300 million), and the University of British Columbia ($260 million).",560.0,,,Institutional,Education,Educational Services,2. Mainland/Southwest,Vancouver,University of British Columbia,,Proposed,Consultation/Approvals,Public Services,True,True,False,False,False,True,LEED gold,False,False,,,,,2026-10-01,2029-07-01,,,,,(604) 731-3103,,2024-09-01,2025-03-01
4754,Highland Valley Mine Life Extension,"Proposed copper and molybdenum mine life extension would include facility expansion to produce 178,000 tonnes/day to 2043.",1500.0,,Review,Industrial,Mining,Mining,3. Thompson-Okanagan,Logan Lake,Teck Highland Valley Copper Partnership,,Proposed,Tender/Preconstruction,Mining & Oil & Gas Extraction,False,False,False,False,False,False,,False,False,,,1250.0,200.0,2026-10-01,2028-10-01,,,50° 30ʹ 25ʺ N,121° 04ʹ 49ʺ W,,,2024-06-01,2025-03-01
4743,Operations and Maintenance Centre #5,Proposed Operations and Maintenance Centre to be located on a 36.5-acre site in Cloverdale.,1000.0,,,Infrastructure,Other Infrastructure,Transportation,2. Mainland/Southwest,Surrey,BC Ministry of Transportation and Transit,,Proposed,Tender/Preconstruction,Transportation & Warehousing,True,True,False,False,False,False,,False,False,,,,,2027-01-01,2028-10-01,49.133665,-122.726658,49° 8' 1.194'' N,122° 43' 35.9688'' W,(604) 453-4500,,2024-06-01,2025-03-01
4755,Highway 1 - Mt. Lehman Road to Highway 11,Highway 1 widening for 8 km from Mt. Lehman Rd to Hwy 11 to include bus lanes and HOV/EV lanes. Replacement of the Peardonville Rd underpass and the Hwy 11 interchange will be included in the project.,2651.0,,,Infrastructure,Roads & Highways,Transportation,2. Mainland/Southwest,Abbotsford,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,True,True,False,False,False,False,,False,False,,,,,2024-10-01,2031-10-01,,,,,(604) 456-2420,,2024-06-01,2025-03-01
4710,Highway 1 - 264 Street to Mount Lehman Road,"Highway 1 corridor improvements from 264th St to Mt, Lehman Rd includes replacement of the 264th Street Interchange and Bradner Road Overpass, additional bus lanes and HOV/EV lanes, and Mt. Lehman/ Hwy 1 Interchange.",2340.0,,,Infrastructure,Roads & Highways,Transportation,2. Mainland/Southwest,Langley To Abbotsford,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,True,True,False,False,False,False,,False,False,,,,,2024-07-01,2028-10-01,,,,,(604) 456-2420,,2024-03-01,2025-03-01
4671,Prince George to Terrace Capacitors Project,This project is required to increase the transfer capacity of the North Coast bulk transmission system to meet growing customer service requests in the region.,582.0,,,Infrastructure,Utilities,Utilities,6. North Coast,"Vanderhoof, Burns Lake, Terrace",BC Hydro,,Construction started,,Utilities (incl sewage treatment),True,False,False,False,True,False,,False,False,,,,,2023-10-01,2028-10-01,,,,,604) 623-4472   Toll Free: 1-866-647-3334,,2023-12-01,2025-03-01
4616,John Hart Dam Seismic Upgrade Project,"This project will address dam safety risks at the John Hart dam and will significantly improve the overall seismic withstand of the dam structure, the reliability of the spillway gates system, and address inflow imbalance issues between the Ladore dam and John Hart dam.",912.0,,,Infrastructure,Utilities,Utilities,1. Vancouver Island/Coast,Campbell River,BC Hydro,,Construction started,,Utilities (incl sewage treatment),True,False,False,False,True,False,,False,False,,,,,2023-04-01,2029-07-01,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2023-06-01,2025-03-01
4609,Simon Fraser University - Medical School,Proposed medical school located at the Surrey Campus.,521.0,,,Institutional,Education,Educational Services,2. Mainland/Southwest,Surrey,Simon Fraser University,,Proposed,Preliminary/Feasibility,Public Services,True,True,False,False,True,False,,False,False,,,,,,,,,,,(604) 291-3394,,2023-06-01,2025-03-01
4473,Fuel Refinery Upgrade,"Proposed refinery expansion and upgrades to produce 700,000 million litres of low-carbon fuels per year by 2026. This project will receive support from the BC Low Carbon Fuel Standard compliance credits.",600.0,,,Industrial,Manufacturing - Petrochemical,Natural Gas Processing,2. Mainland/Southwest,Burnaby,Parkland Corp.,,Proposed,,Mining & Oil & Gas Extraction,False,False,False,False,False,False,,False,False,,,1000.0,,,,,,,,,,2022-06-01,2025-03-01
4380,Surrey Langley Skytrain,Proposed 16 km extension of the Skytrain will include 8 stations from the King George Station to Langley City along the Fraser Hwy.  Request for Proposals (RFP) has resulted in selection of SkyLink Guideway Partners for the design/build contracts.,5996.0,Project started construction,,Infrastructure,Other Transportation,Transportation,2. Mainland/Southwest,Surrey To Langley,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,True,True,True,False,False,False,,False,False,,,,,2025-01-01,2029-10-01,,,,,(604) 453-4500,www.surreylangleyskytrain.ca,2021-09-01,2025-03-01
4378,UBC - Medicine 1 Building,"Proposed 421,610 sq ft state-of-the-art medical centre with clinical and laboratory facilities for teaching, research and faculty offices.",567.0,,,Institutional,Education,Educational Services,2. Mainland/Southwest,Vancouver,University of British Columbia,,Proposed,Preliminary/Feasibility,Public Services,True,False,False,False,True,False,,False,False,,,,,,,,,,,(604) 731-3103,,2021-09-01,2025-03-01
4341,Fording River Extension Project (Castle),Proposal to extend the lifespan of the Fording River Operations by 40 years. Project will expand the mining area south of the current mine and use existing infrastructure. An application for a 2025 exploration program is under review.,4445.0,,,Industrial,Mining,Mining,4. Kootenay,Elk Valley,EVR Operations Ltd. (formerly Teck Coal),,Proposed,Preliminary/Feasibility,Mining & Oil & Gas Extraction,False,False,False,False,False,False,,False,True,Ktunaxa Nation,,200.0,,2028-10-01,2031-10-01,50.15445,-114.81111,,,,,2021-06-01,2025-03-01
